Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,0,0,0,0,0
104,E,2,62,15.749364944961897,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,0,0,0,0,0
105,E,2,59,14.987298899237935,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,0,0,0,0,0
106,E,2,55,13.97121083827265,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,0,0,0,0,0
107,E,2,52,13.209144792548688,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,0,0,0,0,0
108,E,2,60,15.241320914479255,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,0,0,0,0,0
109,E,2,76,19.30567315834039,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,0,0,0,0,0
110,E,2,96,24.386113463166808,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,0,0,0,0,0
111,E,2,102,25.910245554614733,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,0,0,0,0,0
112,E,2,114,28.958509737510585,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,0,0,0,0,0
113,E,2,112,28.450465707027945,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,0,0,0,0,0
114,E,2,97,24.64013547840813,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,0,0,0,0,0
115,E,2,84,21.33784928027096,0,0,0
END SIM
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,0,0,0,0,0
104,E,2,183,46.48602878916173,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,0,0,0,0,0
105,E,2,170,43.183742591024554,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,0,0,0,0,0
106,E,2,151,38.35732430143946,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,0,0,0,0,0
107,E,2,140,35.56308213378493,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,0,0,0,0,0
108,E,2,176,44.707874682472486,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,0,0,0,0,0
109,E,2,214,54.36071126164268,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,0,0,0,0,0
110,E,2,233,59.18712955122778,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,0,0,0,0,0
111,E,2,252,64.01354784081288,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,0,0,0,0,0
112,E,2,294,74.68247248094835,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,0,0,0,0,0
113,E,2,277,70.3640982218459,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,0,0,0,0,0
114,E,2,238,60.45723962743438,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,0,0,0,0,0
115,E,2,209,53.09060118543607,0,0,0
END SIM
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,0,0,0,0,0
104,E,2,74,18.79762912785775,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,0,0,0,0,0
105,E,2,72,18.289585097375106,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,0,0,0,0,0
106,E,2,66,16.76545300592718,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,0,0,0,0,0
107,E,2,61,15.495342929720577,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,0,0,0,0,0
108,E,2,75,19.05165114309907,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,0,0,0,0,0
109,E,2,102,25.910245554614733,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,0,0,0,0,0
110,E,2,117,29.720575783234548,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,0,0,0,0,0
111,E,2,142,36.07112616426757,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,0,0,0,0,0
112,E,2,163,41.40558848433531,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,0,0,0,0,0
113,E,2,154,39.119390347163424,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,0,0,0,0,0
114,E,2,139,35.309060118543606,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,0,0,0,0,0
115,E,2,124,31.498729889923794,0,0,0
END SIM
