Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
164,A,1,0,0,0,0,0
164,B,1,0,0,0,0,0
164,C,1,0,0,0,0,0
164,D,1,0,0,0,0,0
164,E,1,170,43.183742591024554,0,0,0
165,A,1,0,0,0,0,0
165,B,1,0,0,0,0,0
165,C,1,0,0,0,0,0
165,D,1,0,0,0,0,0
165,E,1,170,43.183742591024554,0,0,0
166,A,1,0,0,0,0,0
166,B,1,0,0,0,0,0
166,C,1,0,0,0,0,0
166,D,1,0,0,0,0,0
166,E,1,163,41.40558848433531,0,0,0
167,A,1,0,0,0,0,0
167,B,1,0,0,0,0,0
167,C,1,0,0,0,0,0
167,D,1,0,0,0,0,0
167,E,1,129,32.7688399661304,0,0,0
168,A,1,0,0,0,0,0
168,B,1,0,0,0,0,0
168,C,1,0,0,0,0,0
168,D,1,0,0,0,0,0
168,E,1,175,44.45385266723116,0,0,0
169,A,1,0,0,0,0,0
169,B,1,0,0,0,0,0
169,C,1,0,0,0,0,0
169,D,1,0,0,0,0,0
169,E,1,192,48.772226926333616,0,0,0
170,A,1,0,0,0,0,0
170,B,1,0,0,0,0,0
170,C,1,0,0,0,0,0
170,D,1,0,0,0,0,0
170,E,1,178,45.21591871295512,0,0,0
171,A,1,0,0,0,0,0
171,B,1,0,0,0,0,0
171,C,1,0,0,0,0,0
171,D,1,0,0,0,0,0
171,E,1,228,57.91701947502117,0,0,0
172,A,1,0,0,0,0,0
172,B,1,0,0,0,0,0
172,C,1,0,0,0,0,0
172,D,1,0,0,0,0,0
172,E,1,253,64.2675698560542,0,0,0
173,A,1,0,0,0,0,0
173,B,1,0,0,0,0,0
173,C,1,0,0,0,0,0
173,D,1,0,0,0,0,0
173,E,1,222,56.392887383573246,0,0,0
174,A,1,0,0,0,0,0
174,B,1,0,0,0,0,0
174,C,1,0,0,0,0,0
174,D,1,0,0,0,0,0
174,E,1,212,53.852667231160034,0,0,0
175,A,1,0,0,0,0,0
175,B,1,0,0,0,0,0
175,C,1,0,0,0,0,0
175,D,1,0,0,0,0,0
175,E,1,198,50.29635901778154,0,0,0
END SIM
164,A,1,0,0,0,0,0
164,B,1,0,0,0,0,0
164,C,1,0,0,0,0,0
164,D,1,0,0,0,0,0
164,E,1,170,43.183742591024554,0,0,0
165,A,1,0,0,0,0,0
165,B,1,0,0,0,0,0
165,C,1,0,0,0,0,0
165,D,1,0,0,0,0,0
165,E,1,170,43.183742591024554,0,0,0
166,A,1,0,0,0,0,0
166,B,1,0,0,0,0,0
166,C,1,0,0,0,0,0
166,D,1,0,0,0,0,0
166,E,1,163,41.40558848433531,0,0,0
167,A,1,0,0,0,0,0
167,B,1,0,0,0,0,0
167,C,1,0,0,0,0,0
167,D,1,0,0,0,0,0
167,E,1,129,32.7688399661304,0,0,0
168,A,1,0,0,0,0,0
168,B,1,0,0,0,0,0
168,C,1,0,0,0,0,0
168,D,1,0,0,0,0,0
168,E,1,175,44.45385266723116,0,0,0
169,A,1,0,0,0,0,0
169,B,1,0,0,0,0,0
169,C,1,0,0,0,0,0
169,D,1,0,0,0,0,0
169,E,1,192,48.772226926333616,0,0,0
170,A,1,0,0,0,0,0
170,B,1,0,0,0,0,0
170,C,1,0,0,0,0,0
170,D,1,0,0,0,0,0
170,E,1,178,45.21591871295512,0,0,0
171,A,1,0,0,0,0,0
171,B,1,0,0,0,0,0
171,C,1,0,0,0,0,0
171,D,1,0,0,0,0,0
171,E,1,228,57.91701947502117,0,0,0
172,A,1,0,0,0,0,0
172,B,1,0,0,0,0,0
172,C,1,0,0,0,0,0
172,D,1,0,0,0,0,0
172,E,1,253,64.2675698560542,0,0,0
173,A,1,0,0,0,0,0
173,B,1,0,0,0,0,0
173,C,1,0,0,0,0,0
173,D,1,0,0,0,0,0
173,E,1,222,56.392887383573246,0,0,0
174,A,1,0,0,0,0,0
174,B,1,0,0,0,0,0
174,C,1,0,0,0,0,0
174,D,1,0,0,0,0,0
174,E,1,212,53.852667231160034,0,0,0
175,A,1,0,0,0,0,0
175,B,1,0,0,0,0,0
175,C,1,0,0,0,0,0
175,D,1,0,0,0,0,0
175,E,1,198,50.29635901778154,0,0,0
END SIM
