Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,368,96.64429530201342,0,0,5
1,1,1,2,0.48400107555794564,0,0,5
1,2,1,252,61.56351791530944,0,0,5
1,3,1,24,8.602150537634408,0,0,5
1,4,1,4558,1157.8323454699407,0,0,5
2,0,1,368,96.64429530201342,0,0,5
2,1,1,2,0.48400107555794564,0,0,5
2,2,1,252,61.56351791530944,0,0,5
2,3,1,24,8.602150537634408,0,0,5
2,4,1,4558,1157.8323454699407,0,0,5
3,0,1,361,94.80595272833382,0,0,5
3,1,1,1,0.24200053777897282,0,0,5
3,2,1,240,58.63192182410423,0,0,5
3,3,1,22,7.885304659498208,0,0,5
3,4,1,4342,1102.9635901778154,0,0,5
4,0,1,334,87.71520280128392,0,0,5
4,1,1,0,0,0,0,5
4,2,1,231,56.43322475570032,0,0,5
4,3,1,22,7.885304659498208,0,0,5
4,4,1,3906,992.2099915325995,0,0,5
5,0,1,424,111.35103589145024,0,0,5
5,1,1,0,0,0,0,5
5,2,1,297,72.55700325732899,0,0,5
5,3,1,26,9.31899641577061,0,0,5
5,4,1,4832,1227.4343776460628,0,0,5
6,0,1,534,140.23927633498687,0,0,5
6,1,1,1,0.24200053777897282,0,0,5
6,2,1,356,86.97068403908794,0,0,5
6,3,1,29,10.39426523297491,0,0,5
6,4,1,5734,1456.5622353937342,0,0,5
7,0,1,672,176.4808870732419,0,0,5
7,1,1,4,0.9680021511158913,0,0,5
7,2,1,440,107.49185667752442,0,0,5
7,3,1,31,11.11111111111111,0,0,5
7,4,1,6854,1741.0668924640136,0,0,5
8,0,1,924,242.6612197257076,0,0,5
8,1,1,7,1.6940037644528099,0,0,5
8,2,1,586,143.15960912052117,0,0,5
8,3,1,41,14.695340501792115,0,0,5
8,4,1,8986,2282.64182895851,0,0,5
9,0,1,1131,297.02363583309017,0,0,5
9,1,1,8,1.9360043022317825,0,0,5
9,2,1,724,176.87296416938108,0,0,5
9,3,1,53,18.996415770609318,0,0,5
9,4,1,10924,2774.93649449619,0,0,5
10,0,1,1167,306.4779690691567,0,0,5
10,1,1,9,2.1780048400107557,0,0,5
10,2,1,788,192.50814332247555,0,0,5
10,3,1,49,17.56272401433692,0,0,5
10,4,1,11028,2801.354784081287,0,0,5
11,0,1,1093,287.0440618616866,0,0,5
11,1,1,6,1.452003226673837,0,0,5
11,2,1,731,178.58306188925079,0,0,5
11,3,1,43,15.412186379928315,0,0,5
11,4,1,10157,2580.1016088060965,0,0,5
