Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,2,0.5252407353370294,0,0,5
1,1,1,0,0,0,0,5
1,2,1,19,4.641693811074918,0,0,5
1,3,1,0,0,0,0,5
1,4,1,372,94.49618966977138,0,0,5
2,0,1,2,0.5252407353370294,0,0,5
2,1,1,0,0,0,0,5
2,2,1,19,4.641693811074918,0,0,5
2,3,1,0,0,0,0,5
2,4,1,372,94.49618966977138,0,0,5
3,0,1,2,0.5252407353370294,0,0,5
3,1,1,0,0,0,0,5
3,2,1,17,4.153094462540716,0,0,5
3,3,1,0,0,0,0,5
3,4,1,358,90.9398814563929,0,0,5
4,0,1,4,1.0504814706740588,0,0,5
4,1,1,0,0,0,0,5
4,2,1,14,3.4201954397394134,0,0,5
4,3,1,0,0,0,0,5
4,4,1,328,83.31922099915326,0,0,5
5,0,1,3,0.7878611030055441,0,0,5
5,1,1,0,0,0,0,5
5,2,1,15,3.6644951140065145,0,0,5
5,3,1,0,0,0,0,5
5,4,1,389,98.81456392887384,0,0,5
6,0,1,3,0.7878611030055441,0,0,5
6,1,1,0,0,0,0,5
6,2,1,17,4.153094462540716,0,0,5
6,3,1,0,0,0,0,5
6,4,1,400,101.60880609652837,0,0,5
7,0,1,2,0.5252407353370294,0,0,5
7,1,1,0,0,0,0,5
7,2,1,14,3.4201954397394134,0,0,5
7,3,1,0,0,0,0,5
7,4,1,420,106.6892464013548,0,0,5
8,0,1,3,0.7878611030055441,0,0,5
8,1,1,0,0,0,0,5
8,2,1,13,3.1758957654723123,0,0,5
8,3,1,0,0,0,0,5
8,4,1,531,134.88569009314142,0,0,5
9,0,1,5,1.3131018383425737,0,0,5
9,1,1,0,0,0,0,5
9,2,1,22,5.374592833876221,0,0,5
9,3,1,0,0,0,0,5
9,4,1,632,160.54191363251482,0,0,5
10,0,1,4,1.0504814706740588,0,0,5
10,1,1,0,0,0,0,5
10,2,1,23,5.618892508143322,0,0,5
10,3,1,0,0,0,0,5
10,4,1,643,163.33615580016937,0,0,5
11,0,1,5,1.3131018383425737,0,0,5
11,1,1,0,0,0,0,5
11,2,1,23,5.618892508143322,0,0,5
11,3,1,0,0,0,0,5
11,4,1,608,154.44538526672312,0,0,5
