Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
END SIM
104,A,1,0,0,0,0,0
104,B,1,0,0,0,0,0
104,C,1,0,0,0,0,0
104,D,1,0,0,0,0,0
104,E,1,732,185.94411515664692,0,0,0
105,A,1,0,0,0,0,0
105,B,1,0,0,0,0,0
105,C,1,0,0,0,0,0
105,D,1,0,0,0,0,0
105,E,1,702,178.32345469940728,0,0,0
106,A,1,0,0,0,0,0
106,B,1,0,0,0,0,0
106,C,1,0,0,0,0,0
106,D,1,0,0,0,0,0
106,E,1,616,156.4775613886537,0,0,0
107,A,1,0,0,0,0,0
107,B,1,0,0,0,0,0
107,C,1,0,0,0,0,0
107,D,1,0,0,0,0,0
107,E,1,606,153.93734123624048,0,0,0
108,A,1,0,0,0,0,0
108,B,1,0,0,0,0,0
108,C,1,0,0,0,0,0
108,D,1,0,0,0,0,0
108,E,1,695,176.54530059271804,0,0,0
109,A,1,0,0,0,0,0
109,B,1,0,0,0,0,0
109,C,1,0,0,0,0,0
109,D,1,0,0,0,0,0
109,E,1,913,231.92209991532602,0,0,0
110,A,1,0,0,0,0,0
110,B,1,0,0,0,0,0
110,C,1,0,0,0,0,0
110,D,1,0,0,0,0,0
110,E,1,1098,278.91617273497036,0,0,0
111,A,1,0,0,0,0,0
111,B,1,0,0,0,0,0
111,C,1,0,0,0,0,0
111,D,1,0,0,0,0,0
111,E,1,1319,335.0550381033023,0,0,0
112,A,1,0,0,0,0,0
112,B,1,0,0,0,0,0
112,C,1,0,0,0,0,0
112,D,1,0,0,0,0,0
112,E,1,1483,376.7146486028789,0,0,0
113,A,1,0,0,0,0,0
113,B,1,0,0,0,0,0
113,C,1,0,0,0,0,0
113,D,1,0,0,0,0,0
113,E,1,1509,383.3192209991533,0,0,0
114,A,1,0,0,0,0,0
114,B,1,0,0,0,0,0
114,C,1,0,0,0,0,0
114,D,1,0,0,0,0,0
114,E,1,1284,326.16426756985607,0,0,0
115,A,1,0,0,0,0,0
115,B,1,0,0,0,0,0
115,C,1,0,0,0,0,0
115,D,1,0,0,0,0,0
115,E,1,1135,288.31498729889927,0,0,0
END SIM
104,A,1,0,0,0,0,0
104,B,1,0,0,0,0,0
104,C,1,0,0,0,0,0
104,D,1,0,0,0,0,0
104,E,1,117,29.720575783234548,0,0,0
105,A,1,0,0,0,0,0
105,B,1,0,0,0,0,0
105,C,1,0,0,0,0,0
105,D,1,0,0,0,0,0
105,E,1,111,28.196443691786623,0,0,0
106,A,1,0,0,0,0,0
106,B,1,0,0,0,0,0
106,C,1,0,0,0,0,0
106,D,1,0,0,0,0,0
106,E,1,100,25.402201524132092,0,0,0
107,A,1,0,0,0,0,0
107,B,1,0,0,0,0,0
107,C,1,0,0,0,0,0
107,D,1,0,0,0,0,0
107,E,1,93,23.624047417442846,0,0,0
108,A,1,0,0,0,0,0
108,B,1,0,0,0,0,0
108,C,1,0,0,0,0,0
108,D,1,0,0,0,0,0
108,E,1,117,29.720575783234548,0,0,0
109,A,1,0,0,0,0,0
109,B,1,0,0,0,0,0
109,C,1,0,0,0,0,0
109,D,1,0,0,0,0,0
109,E,1,132,33.53090601185436,0,0,0
110,A,1,0,0,0,0,0
110,B,1,0,0,0,0,0
110,C,1,0,0,0,0,0
110,D,1,0,0,0,0,0
110,E,1,155,39.37341236240474,0,0,0
111,A,1,0,0,0,0,0
111,B,1,0,0,0,0,0
111,C,1,0,0,0,0,0
111,D,1,0,0,0,0,0
111,E,1,187,47.50211685012701,0,0,0
112,A,1,0,0,0,0,0
112,B,1,0,0,0,0,0
112,C,1,0,0,0,0,0
112,D,1,0,0,0,0,0
112,E,1,192,48.772226926333616,0,0,0
113,A,1,0,0,0,0,0
113,B,1,0,0,0,0,0
113,C,1,0,0,0,0,0
113,D,1,0,0,0,0,0
113,E,1,189,48.010160880609654,0,0,0
114,A,1,0,0,0,0,0
114,B,1,0,0,0,0,0
114,C,1,0,0,0,0,0
114,D,1,0,0,0,0,0
114,E,1,160,40.64352243861135,0,0,0
115,A,1,0,0,0,0,0
115,B,1,0,0,0,0,0
115,C,1,0,0,0,0,0
115,D,1,0,0,0,0,0
