Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,0,0,0,0,5
1,1,1,0,0,0,0,5
1,2,1,3,0.7328990228013028,0,0,5
1,3,1,0,0,0,0,5
1,4,1,19,4.8264182895850976,0,0,5
2,0,1,0,0,0,0,5
2,1,1,0,0,0,0,5
2,2,1,3,0.7328990228013028,0,0,5
2,3,1,0,0,0,0,5
2,4,1,19,4.8264182895850976,0,0,5
3,0,1,0,0,0,0,5
3,1,1,0,0,0,0,5
3,2,1,3,0.7328990228013028,0,0,5
3,3,1,0,0,0,0,5
3,4,1,19,4.8264182895850976,0,0,5
4,0,1,0,0,0,0,5
4,1,1,0,0,0,0,5
4,2,1,3,0.7328990228013028,0,0,5
4,3,1,0,0,0,0,5
4,4,1,17,4.318374259102455,0,0,5
5,0,1,0,0,0,0,5
5,1,1,0,0,0,0,5
5,2,1,4,0.9771986970684038,0,0,5
5,3,1,0,0,0,0,5
5,4,1,18,4.5723962743437765,0,0,5
6,0,1,0,0,0,0,5
6,1,1,0,0,0,0,5
6,2,1,5,1.2214983713355048,0,0,5
6,3,1,0,0,0,0,5
6,4,1,20,5.080440304826419,0,0,5
7,0,1,0,0,0,0,5
7,1,1,0,0,0,0,5
7,2,1,7,1.7100977198697067,0,0,5
7,3,1,0,0,0,0,5
7,4,1,21,5.33446232006774,0,0,5
8,0,1,0,0,0,0,5
8,1,1,0,0,0,0,5
8,2,1,8,1.9543973941368076,0,0,5
8,3,1,0,0,0,0,5
8,4,1,28,7.112616426756986,0,0,5
9,0,1,0,0,0,0,5
9,1,1,0,0,0,0,5
9,2,1,8,1.9543973941368076,0,0,5
9,3,1,0,0,0,0,5
9,4,1,33,8.38272650296359,0,0,5
10,0,1,0,0,0,0,5
10,1,1,0,0,0,0,5
10,2,1,9,2.1986970684039084,0,0,5
10,3,1,0,0,0,0,5
10,4,1,31,7.8746824724809485,0,0,5
11,0,1,0,0,0,0,5
11,1,1,0,0,0,0,5
11,2,1,8,1.9543973941368076,0,0,5
11,3,1,0,0,0,0,5
11,4,1,30,7.6206604572396275,0,0,5
