"Toeslope"|"17690739"|"7002564"
"Toeslope"|"17690781"|"7002560"
"Toeslope"|"17690740"|"7002565"
"Toeslope"|"17690782"|"7002561"
"Toeslope"|"17690721"|"7002566"
"Shoulder"|"17690726"|"7002548"
"Shoulder"|"17690766"|"7002542"
"Toeslope"|"17690722"|"7002654"
"Toeslope"|"17690741"|"7002567"
"Toeslope"|"17690723"|"7002655"
"Toeslope"|"17690742"|"7002568"
"Toeslope"|"17690783"|"7002562"
"Summit"|"17690672"|"7002570"
"Summit"|"17690727"|"7002577"
"Summit"|"17690767"|"7002584"
"Summit"|"17690673"|"7002571"
"Summit"|"17690728"|"7002578"
"Summit"|"17690768"|"7002585"
"Footslope"|"17690674"|"7002554"
"Footslope"|"17690769"|"7002556"
"Footslope"|"17690807"|"7002558"
"Summit"|"17690675"|"7002555"
"Summit"|"17690770"|"7002557"
"Summit"|"17690808"|"7002559"
"Toeslope"|"17690709"|"7002657"
"Toeslope"|"17690763"|"7002569"
"Toeslope"|"17690802"|"7002563"
"Toeslope"|"17690710"|"7002658"
"Shoulder"|"17690731"|"7002550"
"Shoulder"|"17690776"|"7002544"
"Shoulder"|"17690677"|"7002573"
"Shoulder"|"17690733"|"7002580"
"Shoulder"|"17690777"|"7002587"
"Backslope"|"17690734"|"7002551"
"Backslope"|"17690778"|"7002545"
"Backslope"|"17690678"|"7002574"
"Backslope"|"17690735"|"7002581"
"Backslope"|"17690779"|"7002588"
"Shoulder"|"17690809"|"7002447"
"Shoulder"|"17690824"|"7002591"
"Shoulder"|"17690679"|"7002575"
"Shoulder"|"17690736"|"7002582"
"Shoulder"|"17690780"|"7002589"
"Shoulder"|"17690737"|"7002552"
"Shoulder"|"17690772"|"7002546"
"Backslope"|"17690810"|"7002448"
"Backslope"|"17690825"|"7002592"
"Backslope"|"17690680"|"7002576"
"Backslope"|"17690738"|"7002583"
"Backslope"|"17690773"|"7002590"
"Backslope"|"17690732"|"7002553"
"Backslope"|"17690774"|"7002547"
"Shoulder"|"17690811"|"7002449"
"Shoulder"|"17690826"|"7002593"
"Shoulder"|"17690839"|"7002457"
"Toeslope"|"17690700"|"7002659"
"Shoulder"|"17690814"|"7002452"
"Shoulder"|"17690829"|"7002596"
"Shoulder"|"17690816"|"7002454"
"Shoulder"|"17690831"|"7002598"
"Toeslope"|"17690702"|"7002660"
"Footslope"|"17690842"|"7002460"
"Summit"|"17690842"|"7002461"
"Shoulder"|"17690843"|"7002462"
"Shoulder"|"17690818"|"7002456"
"Shoulder"|"17690833"|"7002600"
"Footslope"|"17690844"|"7002463"
"Summit"|"17690844"|"7002464"
"Toeslope"|"17690705"|"7002662"
"Toeslope"|"17690694"|"7002663"
"Backslope"|"17690856"|"7002670"
"Summit"|"17690857"|"7002671"
"Shoulder"|"17690857"|"7002672"
"Backslope"|"17690857"|"7002673"
"Backslope"|"17690848"|"7002676"
"Shoulder"|"17690848"|"7002677"
"Backslope"|"17690849"|"7002636"
"Footslope"|"17690849"|"7002637"
"Toeslope"|"17690850"|"7002638"
"Footslope"|"17690838"|"7002639"
"Summit"|"17690838"|"7002640"
"Backslope"|"17690851"|"7002641"
"Shoulder"|"17690851"|"7002642"
"Footslope"|"17690823"|"7002643"
"Backslope"|"17690875"|"7002678"
"Backslope"|"17690876"|"7002679"
"Backslope"|"17690877"|"7002680"
"Backslope"|"17690866"|"7002681"
"Footslope"|"17690835"|"7002682"
"Backslope"|"17690820"|"7002683"
"Backslope"|"17690867"|"7002684"
"Backslope"|"17690868"|"7002613"
"Backslope"|"17690852"|"7002644"
"Backslope"|"17690853"|"7002645"
"Backslope"|"17690845"|"7002646"
"Backslope"|"17690846"|"7002647"
"Backslope"|"17690847"|"7002648"
"Backslope"|"17690858"|"7002674"
"Backslope"|"17690859"|"7002675"
"Backslope"|"17690883"|"7002601"
"Shoulder"|"17690883"|"7002602"
"Backslope"|"17690872"|"7002603"
"Footslope"|"17690872"|"7002604"
"Footslope"|"17690834"|"7002605"
"Summit"|"17690834"|"7002606"
